name,original_sc,total_tc,nslice,runtime
1,52.0,95.17038650874403,47,213.390753126
2,52.0,103.67513044453571,56,235.991073419
3,54.0,90.289543950909,44,188.123279832
4,49.0,88.83372042197745,41,164.959922765
5,55.0,102.98433881372969,56,280.330339043
6,51.0,88.88287858394582,42,197.510868418
7,49.0,78.78758599261184,32,144.986689193
8,46.0,85.14226490345999,38,161.585128587
9,48.0,86.15349756469924,39,163.109866246
10,55.0,80.85979568850152,34,215.302867822
