name,nodes
1,28
2,11
3,863
4,63
5,1
6,47
7,32
8,1
9,4
10,5
11,190
12,123
13,114
14,1
15,721
16,8
17,1
18,1
19,22
20,1
21,1
22,13
23,1
24,13
25,21
26,29
27,69
28,27
29,204
30,29
31,37
32,13
33,890
34,97
35,60
36,31
37,29
38,311
39,320
40,366
41,540
42,13
43,89
44,26
45,51
46,1
47,35
48,4
49,233
50,702
