name,nodes
1,2800
2,2896
3,515
4,1866
5,950
6,1416
7,3801
8,859
9,809
10,1528
11,4982
12,1505
13,749
14,932
15,1324
16,698
17,937
18,1062
19,969
20,1052
21,4304
22,239
23,874
24,20
25,529
26,852
27,1666
28,757
29,4676
30,778
31,6134
32,910
33,1127
34,190
35,388
36,860
37,2259
38,831
39,644
40,573
41,3837
42,1057
43,3194
44,691
45,535
46,3106
47,1888
48,395
49,10764
50,780
