name,original_sc,total_tc,nslice,runtime
1,36.0,55.84300944857991,9,22.918059014
2,40.0,65.79221558390864,21,44.157421915
3,41.0,57.641653584494684,11,43.425870993
4,39.0,55.45551275416823,10,31.034986961
5,40.0,59.631952476294394,13,40.015106247
6,38.0,58.199730168115934,12,30.937315581
7,33.0,47.26151059810942,2,8.880080147
8,41.0,63.24800618751581,17,41.249564817
9,35.0,48.839142550133985,5,19.26728082
10,40.0,61.20141937740189,14,38.850728961
