name,nodes
1,233
2,933
3,9
4,633
5,712
6,319
7,511
8,363
9,208
10,284
11,1270
12,5259
13,171
14,553
15,30
16,430
17,902
18,803
19,2447
20,1084
21,1
22,27
23,1442
24,1
25,4984
26,1025
27,275
28,82
29,671
30,2098
31,1374
32,966
33,660
34,1
35,21
36,1533
37,1687
38,589
39,130
40,521
41,797
42,34
43,5423
44,205
45,1256
46,17
47,681
48,1288
49,852
50,2704
