name,nodes
1,314
2,100
3,31
4,326
5,271
6,39
7,459
8,865
9,28
10,1574
11,93
12,10
13,106
14,476
15,1508
16,1050
17,467
18,3
19,46
20,1
21,1560
22,660
23,674
24,552
25,687
26,27
27,7
28,1381
29,59
30,1630
31,233
32,829
33,619
34,1421
35,726
36,645
37,24
38,345
39,2032
40,604
41,66
42,257
43,7
44,1174
45,35
46,332
47,1
48,9
49,324
50,576
