name,ds,total_tc,num_slice,runtime
7,1,46.64550287683445,1,9.750873853
7,2,47.0898463184578,3,16.789924293
7,3,48.112568813559406,5,19.859022808
7,4,50.14213239120542,9,25.994284551
7,5,50.23156423269212,10,31.006740694
