name,original_sc,total_tc,num_branch,runtime
1,46.0,56.64799716119881,2609,8335.586251755
2,37.0,49.65290774644962,32,231.429580765
3,41.0,54.36306797523428,484,1894.078841321
4,33.0,47.57929453120558,6,65.836688481
5,45.0,58.924989546681225,10033,38384.115405926
7,38.0,51.21231455257675,75,511.99252357
8,37.0,51.83819830268938,89,678.349352389
9,38.0,51.330478889134696,87,414.528537789
10,42.0,52.650734207374754,101,380.205351784
