name,tnbb_runtime,ds_runtime
3,14.155864595,36.675060482
2,312.684543787,4573.440200238
4,465.002211189,2053.584525015
5,885.023126656,NaN
7,47.225916937,121.848123911
10,41.379683526,156.031555749
