name,scip_runtime,sc,ds_nslice,ds_tc,ds_slice_runtime,ds_contract_runtime,tnbb_nbranch,tnbb_tc,tnbb_branch_runtime,tnbb_contract_runtime
1,140.586190603,36.0,9,55.84300944857991,22.918059014,23345.150016512,1,40.58256614027323,1.975361474,0.759248371
2,277.318800478,40.0,21,65.79221558390864,44.157421915,4.408507522613248e7,1,42.49629298973447,0.383212559,1.560926887
3,490.832955186,41.0,11,57.641653584494684,43.425870993,50393.235879936,1,34.52564323011258,0.346146059,0.358501656
4,214.621065273,39.0,10,55.45551275416823,31.034986961,21951.711711232,1,41.85239401169344,0.25075254,1.121103593
5,205.652559133,40.0,13,59.631952476294394,40.015106247,288649.054887936,1,38.847562988900094,0.244608529,0.306756486
6,81.788888916,38.0,12,58.199730168115934,30.937315581,99402.224418816,1,30.96190174232601,0.300769293,0.173269159
7,105.302057768,33.0,2,47.26151059810942,8.880080147,114.64483634,1,30.205759422153843,0.309620944,0.331571606
8,103.080396181,41.0,17,63.24800618751581,41.249564817,4.285053257121792e6,1,45.10520136469767,0.25211282,7.816866848
9,163.757640519,35.0,5,48.839142550133985,19.26728082,848.03621456,1,34.51417722968978,0.349064852,0.313404547
10,165.638566559,40.0,14,61.20141937740189,38.850728961,671646.319476736,2,46.32596771949688,35.175654592,23.476226171
