name,nodes
1,1
2,1
3,1
4,13
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,12
14,1
15,1
16,1
17,1
18,13
19,1
20,1
21,11
22,31
23,1
24,1
25,12
26,11
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,5
45,1
46,1
47,7
48,1
49,1
50,10
