seed, ds_time, tnbb_time
"1,2",91795.69257,1484.11822
"1,3",128712.1109,2455.69344
"1,4",15116.82483,1702.74022
"1,5",9142.36586,3762.40492
"2,3",35357.20091,2970.27004
"2,4",87219.48966,5078.72052
"2,5",64780.47694,4718.98689
"3,4",74913.43203,862.03582
"3,5",14156.69433,5111.49897
"4,5",60386.49059,3297.55329
