name,nv,ne,nv_kernelized,ne_kernelized,r
8,2000,6183,906,2671,309
4,2000,6226,1030,3080,274
1,2000,6226,788,2356,351
5,2000,6178,657,1827,381
2,2000,6200,640,1742,388
7,2000,6177,544,1515,423
10,2000,6221,831,2413,332
6,2000,6235,832,2454,332
9,2000,6225,860,2524,327
3,2000,6224,799,2284,338
