name,nv,ne,nv_kernelized,ne_kernelized,r
3,8000,25201,5119,15328,777
4,8000,25168,5269,15896,743
1,8000,25218,5407,16316,699
5,8000,25202,5090,15437,792
2,8000,25205,5548,16786,664
7,8000,25217,5282,16029,744
10,8000,25177,5782,17458,586
6,8000,25218,5877,17895,564
9,8000,25270,5013,15215,821
8,8000,25174,5776,17509,598
