name,nv,ne,nv_kernelized,ne_kernelized,r
8,1280,3947,463,1322,235
4,1280,3963,456,1273,235
1,1280,3929,394,1116,255
10,1280,3924,403,1126,252
5,1280,3932,422,1218,249
2,1280,3944,340,984,275
7,1280,3930,411,1209,252
6,1280,3952,422,1198,249
9,1280,3938,159,463,331
3,1280,3936,626,1802,186
