name,total_tc,num_branch
1,57.76667298285423,1338
2,49.57171914175785,20
3,54.91388023875944,234
4,48.86082530031984,3
5,58.770357188528095,2488
6,44.61409871611639,1
7,51.95196133769937,48
8,52.37828889196031,33
9,52.069013199817235,53
10,52.786892265186104,58
