name,origin_sc,origin_tc,origin_rwc,sliced_sc,sliced_tc,sliced_rwc,sliced_boundes
1,60.0,88.18990428652354,64.6898485471535,32.0,133.19380529077807,122.99052365960117,84
2,60.0,85.70410760475475,63.9075559086156,32.0,130.69648378812735,120.50694982188313,82
3,62.0,84.39448250301662,64.45254640465805,32.0,113.45940244805303,103.99230738330621,65
4,53.0,79.09379358040667,57.415272893133356,32.0,113.49687001269753,103.47607874690215,64
5,60.0,88.02244484711592,64.61503247972024,32.0,114.72999004598975,105.6064987339565,66
6,59.0,85.08779544701312,61.831839345856125,32.0,95.58574661753062,85.0407099776655,46
7,57.0,84.0459118728911,61.595518239479716,32.0,106.15913556042473,96.85490179819053,58
8,58.0,83.2589423691488,62.31634933342311,32.0,140.06339087780808,130.00086453651915,91
9,65.0,91.0452604884826,67.20245325668188,32.0,116.01163328722629,107.12526940317319,68
10,60.0,88.61524482497875,64.01281796013407,32.0,130.80962900670448,120.69442481753534,82
