name,origin_sc,origin_tc,origin_rwc,sliced_sc,sliced_tc,sliced_rwc,sliced_boundes
1,36.0,51.688483462714764,40.49645022024402,32.0,55.19690904187989,45.3953780021658,7
2,40.0,54.79376419474987,43.9557101569845,32.0,63.88107172398873,55.52741128017269,18
3,41.0,54.08158750381337,43.64557481281637,32.0,55.83628408956374,44.534062601726376,8
4,39.0,55.08376604772825,43.64026299800792,32.0,54.98067130040193,46.05820297429017,8
5,40.0,59.359109470742695,43.923692848012976,32.0,59.0471843822146,49.11435336249318,11
6,38.0,52.77590696051626,40.081488516187235,32.0,55.69028959036469,45.49954202120861,8
7,33.0,47.198860004644025,36.48199269331977,32.0,47.214634654622316,37.49702046423378,1
8,41.0,57.38985017642359,45.68325065241232,32.0,64.2891252601933,54.36515099466564,16
9,35.0,49.20955227197537,39.544002815082244,32.0,49.066374988934996,41.439899734018745,4
10,40.0,57.70339073428213,43.19937521028547,32.0,60.20504402220022,49.785111210963514,12
