name,tc
1,47.967957506425336
2,48.35019414830862
3,46.44330973957556
4,46.50854906891997
5,47.88601331845178
6,47.79148976603815
7,47.52033259794875
8,47.54528753503434
9,47.63985612010794
10,47.641129044247855
11,47.97051182670136
12,47.48653116376212
13,47.27226288539381
14,45.61425122124891
15,47.6805409847396
16,47.781819985653684
17,47.227390259888544
18,47.143420407912444
19,47.1235522524189
20,47.24984682474273
21,47.65392480710742
22,47.633349020143854
23,48.18642050695441
24,48.16427709951485
25,47.72861576082483
26,46.815002116471284
27,47.86326372917496
28,47.66372891240553
29,47.600558045816655
30,47.95361658329895
31,48.02470660680561
32,47.73685016778863
33,48.10745049617687
34,47.694826909734374
35,46.96363855514705
36,47.79952574224957
37,46.37610777174065
38,48.840717726022156
39,46.85973232651463
40,47.78556120188951
41,48.86078056069521
42,47.7847435734281
43,47.0033189060914
44,47.00259948589676
45,47.85189187225401
46,46.60283727067358
47,46.62250960284599
48,47.376841555371314
49,47.37691264789027
50,46.85474864113812
51,47.00173619399926
52,48.18227188671164
53,46.97447676373945
54,47.366910383533614
55,48.28208223346209
56,48.29112765005298
57,47.5676489215491
58,46.45967932961852
59,48.341991662246194
60,48.33189841806997
61,46.63939610891639
62,46.59706443300744
63,47.64645741609392
64,47.546439281454504
65,47.16920954893704
66,47.1706630433725
67,48.96079210424465
68,47.25574889515968
69,47.21426917883326
70,47.42992650768624
71,47.39753454641865
72,48.16544509039544
73,48.175577844620484
74,47.370813237086516
75,47.119100482039144
76,47.12971547563902
77,47.38250985033252
78,47.77469390399817
79,48.174982689287006
80,47.3766205851181
81,47.15421207765382
82,47.39462491553828
83,47.34494695436647
84,47.40323238002356
85,47.09669204210407
86,47.53520049231772
87,47.534339349964526
88,48.224589684483284
89,48.22779064492342
90,47.34592590374556
91,47.65254424728659
92,47.2372755754176
93,48.79013868365438
94,47.07981144463232
95,47.08130772001979
96,48.25007648203866
97,46.248031868027
98,47.12309619739162
99,46.94838980176269
100,47.93247461629093
101,47.493343122147294
102,47.07343157404354
103,47.69590411470963
104,47.04984622130492
105,48.317467683888836
106,47.52591644753158
107,48.0228996286602
108,48.804286213779655
109,47.68725392053804
110,47.71437127236403
111,47.77980316240495
112,47.81019670112325
113,48.54180527567634
114,48.66040860626463
115,48.166949350204575
116,46.942473021125465
117,47.79499049913546
118,47.94875117513443
119,46.26843933233033
120,47.61001911600677
121,47.61090539430964
122,48.631538056396636
123,48.36694762019874
124,48.06330965398656
125,48.042668249453726
126,47.885552776936265
127,47.060336409853726
128,47.06179678178658
129,47.2085652075215
130,47.18960335070615
131,47.434565670335644
132,46.23914408789766
133,48.03977638196092
134,48.19477527652899
135,47.36598169943134
136,46.62721228776871
137,47.70021557700704
138,47.8614053909453
139,48.135852978091975
140,48.121315816298285
141,47.65430988222505
142,46.74265618710835
143,47.233465267333436
144,47.37180459680807
145,47.36206081614022
146,47.68636116384054
147,48.2235313191829
148,47.48070647269559
149,47.04419388509297
150,47.62293343854537
151,48.98039092789048
152,49.268386967350416
153,47.89520686893314
154,47.92248537814273
155,47.92172557212573
156,47.63040798796603
157,48.47947265516468
158,47.7575880660636
159,47.77069326850448
160,47.37283245774538
161,47.88739871121805
162,47.46595063851054
163,47.252773629690395
164,47.87711439723668
165,47.87618658070009
166,46.69621882773454
167,46.59860552393185
168,46.65895482218502
169,47.64332447485658
170,48.03417002204079
171,48.19206921747595
172,48.2911215236074
173,48.27420067823134
174,47.64405010478035
175,47.353089866514885
176,47.94319027443212
177,47.46827649153006
178,48.422302572693205
179,46.98374845412745
180,48.38699682916934
181,46.78096950557051
182,47.2280698522469
183,46.99399428062488
184,47.89888590054922
185,47.56445098003938
186,46.93016233432396
187,48.98350176826521
188,48.982002790147874
189,48.38192903286737
190,48.10312254099441
191,48.61071307409351
192,48.9346339704445
193,48.95860069171681
194,48.19668290559548
195,46.450327422947716
196,47.987926098941514
197,47.608538162984516
198,47.60954461073824
199,48.54054972172915
200,48.26927954938418
201,47.782213717362175
202,47.78188503600724
203,47.499550896601754
204,47.92361854953926
205,47.8481617988291
206,47.811620167789656
207,47.346924305143716
208,47.410058768340036
209,47.71680683172024
210,47.71110952002756
211,47.929138689097414
212,47.967340769248125
213,48.01309622738681
214,47.91692207032023
215,48.23857130824947
216,47.837876072021544
217,47.830699970749066
218,48.25594817310054
219,48.41333466785777
220,47.15279041373913
221,47.53550782687232
222,47.926191663130105
223,48.05103801581962
224,48.051081634105294
225,47.922543800650715
226,48.91145282420173
227,47.79707258960638
228,48.911382738226116
229,47.22854809468614
230,47.639438901600954
231,47.54902096521416
232,46.3269619522638
233,46.176832751267
234,48.22288704573605
235,47.250747008738024
236,49.03698191048918
237,49.03316706521517
238,47.10885972795187
239,47.10894861395191
240,47.506968712297905
241,47.491696607338675
242,47.60109535617796
243,47.59490450289526
244,48.24517870313406
245,47.67742084294474
246,47.46569468666111
247,47.32667796449168
248,47.47272637557427
249,47.57091551725296
250,46.883746625517745
251,47.70219081751459
252,47.58594242226082
253,47.58652496403464
254,48.116681846210135
255,46.677607041124716
256,45.71385940697243
257,47.73500576760526
258,47.75617277366642
259,47.44603853541223
260,47.90337525617497
261,47.256894611430475
262,47.92312445241793
263,48.149328452938015
264,47.05734850755801
265,47.99315621879598
266,48.20799441322561
267,47.682768989404956
268,47.14652999059627
269,47.05976423485713
270,48.05731611926352
271,48.04807256034559
272,47.01794688568567
273,47.01770697236261
274,46.28407925036893
275,46.22956817139845
276,48.764194609541654
277,48.764216189406405
278,48.76569473987249
279,47.963021343819406
280,48.7648108888904
281,48.276518461469486
282,48.38654826460899
283,47.91785894137438
284,48.16588147837433
285,47.57620880795177
286,49.096081058696626
287,47.36347910878446
288,46.60982463621031
289,47.70599618634709
290,47.695331127305494
291,47.54639376253234
292,48.016327526236864
293,48.85057525038392
294,48.14261987882929
295,48.00782643356715
296,48.02130311913056
297,46.805975142611274
298,46.979025819257075
299,47.758529749727984
300,48.150974504570655
301,48.5407591747972
302,48.28521156455928
303,48.500259232197585
304,46.70601240964615
305,46.383362588895494
306,48.42998277787609
307,46.24644977800231
308,48.435669361402496
309,45.45105581980591
310,47.6388600203062
311,47.198093153655826
312,48.398648173581584
313,48.407039140078766
314,48.15832432182157
315,47.854539678303944
316,47.18359496143025
317,45.82191103978754
318,45.86632810528398
319,48.45960224164984
320,48.49153763145165
321,48.49050514772804
322,46.95564414949186
323,46.757968074608726
324,48.40767512870105
325,48.03652733183586
326,48.05026942891781
327,48.074788700824676
328,48.56325874491186
329,48.28805246895731
330,48.70790621969475
331,46.08996523756275
332,46.75374934318545
333,46.6487262204702
334,47.974599347591045
335,47.41466895706883
336,47.703293508072775
337,47.69659502846708
338,48.25194707952529
339,48.299283871705775
340,48.086937966858756
341,48.719913593610215
342,48.04456384933325
343,47.526066419643655
344,47.01099449862161
345,47.10274281232902
346,47.183033722897434
347,48.406431638316036
348,48.398395363796
349,47.832960515733426
350,48.13895065410695
351,48.155684276497055
352,47.11889697767176
353,47.21956541978889
354,46.616747622057254
355,46.180039108332764
356,48.01738020967167
357,46.956168954328426
358,48.750275490948596
359,48.75220385103304
360,45.197621568025355
361,46.38098158156465
362,47.62925334366382
363,48.043376529082146
364,48.08822236030105
365,48.087854900223405
366,47.8041186567932
367,47.88806469741282
368,48.05270287840561
369,47.60953454781387
370,47.95759882075094
371,48.87962065175706
372,48.774001165378245
373,48.24256659985012
374,47.18672348240515
375,47.28302221452865
376,49.07527433976365
377,48.710245745690855
378,48.8550318216149
379,47.201455735334704
380,47.10024115791904
381,48.49196740662665
382,48.61580843665264
383,48.31673141645162
384,47.59582191897707
385,47.6025864090369
386,46.4932742092683
387,47.344719752543554
388,47.971623816219264
389,45.76341166628015
390,45.56312609740331
391,47.35883580741376
392,46.81539554621192
393,47.53007581309278
394,47.543855858653195
395,49.21736674421697
396,48.940032268469764
397,47.41725129303118
398,47.39203115540142
399,47.47789983228064
400,47.76141581195528
401,47.58999647207443
402,47.46531783269958
403,47.51212126053437
404,48.5841745660437
405,47.702578695647816
406,46.930044390241896
407,47.47773490783913
408,47.4123848262165
409,47.60191227027151
410,47.50136977997654
411,45.465270148149756
412,47.48099264109136
413,47.474056161976
414,48.722313547414096
415,47.739321098283625
416,46.94701590633109
417,47.43474021894309
418,48.15167848815768
419,46.863204477399705
420,46.90687299112831
421,47.63260810742408
422,48.981234932132764
423,48.16898300336127
424,48.97422220039207
425,47.19722040506011
426,47.03246878703553
427,46.876608840816175
428,47.074742605544174
429,47.017448282831374
430,47.80439328299803
431,46.86333162795925
432,48.371554196179495
433,45.81645510536629
434,46.519414725580575
435,47.399267257912186
436,48.471208398968756
437,48.526049955838
438,47.57752928213232
439,46.78081255109186
440,47.692644346055594
441,46.99507034793373
442,47.82608031865575
443,47.5241556288852
444,48.30844521786513
445,47.664641714276826
446,47.98731479199261
447,47.64431490304812
448,48.337022652502895
449,47.98749226454406
450,47.75015506225131
451,48.04236246931929
452,47.55370619098062
453,48.14094453764653
454,48.41776152308545
455,48.341860653921366
456,47.56254379200508
457,47.35739267865964
458,48.28561025218615
459,48.298423580042595
460,47.65435261350054
461,48.35010428870336
462,47.99750091246799
463,47.38774673847906
464,46.81894602623002
465,47.25469798135309
466,48.81324946810172
467,47.08903365313455
468,47.6202529529142
469,47.84644648517469
470,48.26768102282819
471,46.79092232885459
472,47.23449174109389
473,47.33186412843186
474,47.53048597179551
475,47.852438408327394
476,46.794897369458994
477,46.80294508353291
478,47.90789487387632
479,47.1707992266449
480,46.70338027071326
481,46.41436165742361
482,47.64994581872023
483,47.91431201756371
484,46.40147535870375
485,46.40002917492572
486,47.24139393201202
