name,nv,ne,nv_kernelized,ne_kernelized,r
8,6480,20413,4557,13931,527
4,6480,20334,4202,12680,624
1,6480,20458,4599,13960,504
5,6480,20370,4404,13297,563
2,6480,20338,4031,12278,684
10,6480,20364,4151,12647,645
6,6480,20360,4526,13660,522
7,6480,20401,4124,12423,642
9,6480,20340,4204,12677,623
3,6480,20404,4387,13248,562
