name,nv,ne,nv_kernelized,ne_kernelized,r
3,2880,8989,1280,3794,457
4,2880,8945,1486,4371,389
1,2880,8987,1426,4272,413
5,2880,8981,1446,4158,395
2,2880,8990,1535,4514,375
6,2880,8986,958,2883,560
7,2880,8998,1128,3242,494
10,2880,8959,1692,5099,335
9,2880,8994,1317,3804,431
8,2880,8926,1490,4421,389
