name,nv,ne,nv_kernelized,ne_kernelized,r
8,5120,16072,3312,10045,501
4,5120,16075,3130,9457,551
1,5120,16062,3174,9577,540
5,5120,16067,3323,10089,496
2,5120,16065,3166,9571,544
10,5120,16072,3124,9377,549
6,5120,16056,2567,7586,717
7,5120,16107,3268,9802,502
9,5120,16125,2970,8770,585
3,5120,16044,3290,9903,500
