name,nv,ne,nv_kernelized,ne_kernelized,r
3,3920,12279,2113,6241,503
4,3920,12270,2394,7213,423
1,3920,12303,2311,6930,442
10,3920,12233,2362,6922,420
2,3920,12234,2443,7357,411
7,3920,12268,2302,6864,449
6,3920,12307,2437,7288,407
5,3920,12321,2438,7322,407
9,3920,12287,2320,7022,449
8,3920,12289,2079,6191,514
