id,count,time
1,6,370.11058807373047
2,792,598.4865920543671
3,51,583.283725976944
4,150,525.4198319911957
5,20,534.560210943222
6,40,549.3072278499603
7,480,569.0209200382233
8,104,561.744677066803
9,18,475.8638389110565
10,2,427.97241592407227
11,1,474.98118805885315
12,6,475.8716468811035
13,4,458.73663997650146
14,8,418.86154413223267
15,96,550.2579960823059
16,50,466.2957479953766
17,128,576.5688941478729
18,8,450.12251591682434
19,128,568.4500920772552
20,84,572.0558760166168
21,36,475.03433203697205
22,432,580.5559618473053
23,1020,600.6833939552307
24,4,503.43453311920166
25,26,516.068069934845
26,1904,610.8077099323273
27,216,585.7949919700623
28,120,511.10765290260315
29,1,419.6534330844879
30,360,581.2836561203003
31,3,449.1506700515747
32,1944,628.7892248630524
33,16,545.6036369800568
34,16,485.37442994117737
35,48,548.1413109302521
36,60,491.77791690826416
37,12,405.87012004852295
38,144,550.3755118846893
39,24,507.0234980583191
40,35,484.44744896888733
41,32,493.8375039100647
42,198,564.9000980854034
43,288,480.1202640533447
44,16,539.7231690883636
45,192,528.9882848262787
46,8,507.0928750038147
47,240,571.4600460529327
48,9,486.33917784690857
49,16,563.1260550022125
50,25,572.1330931186676
