id,count,time
1,288,416.54985189437866
2,40,415.7704019546509
3,6912,542.8751289844513
4,6,380.9762279987335
5,4,356.6118800640106
6,66,371.53880977630615
7,8,362.03333282470703
8,96,369.08831000328064
9,1,274.0641589164734
10,18,383.38565587997437
11,8,311.7754831314087
12,70,390.490247964859
13,192,409.2237319946289
14,4,403.4144649505615
15,56,395.1776509284973
16,8,399.3220109939575
17,1,348.58476400375366
18,4,393.9635601043701
19,80,362.07162380218506
20,336,393.9700758457184
21,44,341.45099401474
22,64,350.3733789920807
23,54,412.0990631580353
24,2400,484.65481996536255
25,144,396.44435000419617
26,10,407.0635349750519
27,16,392.8524899482727
28,9,383.90588903427124
29,24,290.2438440322876
30,36,394.6116280555725
31,550,432.74436712265015
32,705,434.9251160621643
33,6,371.5282859802246
34,6,368.31112790107727
35,1,391.07997488975525
36,702,446.04724407196045
37,4,325.2925560474396
38,4,341.510390996933
39,2,355.7871479988098
40,1542,467.8981759548187
41,5,359.7267589569092
42,4,333.0967528820038
43,1,359.69300293922424
44,168,412.036838054657
45,4,312.4407789707184
46,90,383.3780508041382
47,3,389.9390060901642
48,9,414.29170513153076
49,2,387.7407901287079
50,32,352.18057107925415
