id,count,time
1,835,2.333575963973999
2,40,1.0179970264434814
3,791,2.3782429695129395
4,6142,7.617025136947632
5,51,0.8175621032714844
6,46,0.8543899059295654
7,842,2.392812967300415
8,246,1.8484699726104736
9,3246,4.722588062286377
10,128,1.017967939376831
11,4,0.2606189250946045
12,1,0.1694951057434082
13,111,1.0754609107971191
14,16,0.5537769794464111
15,171,1.3777999877929688
16,1,0.25799107551574707
17,124,1.2118120193481445
18,13,0.545428991317749
19,1516,3.307408094406128
20,318,1.5839300155639648
21,3,0.28599095344543457
22,235,1.8016870021820068
23,1570,3.906751871109009
24,54,0.8137190341949463
25,33,0.557833194732666
26,5,0.3130059242248535
27,7,0.3775911331176758
28,69,0.6575291156768799
29,1,0.18958592414855957
30,3,0.26580214500427246
31,239,1.8054568767547607
32,389,1.8016550540924072
33,27,0.553717851638794
34,243,1.706200122833252
35,730,2.265554904937744
36,19,0.3753340244293213
37,10054,11.886669874191284
38,30,0.5536971092224121
39,13288,13.030362844467163
40,69,1.0753769874572754
41,50,1.0178899765014648
42,4,0.2657608985900879
43,3139,5.164277076721191
44,83,1.465519905090332
45,3,0.26201796531677246
46,6,0.35217809677124023
47,5322,6.916024923324585
48,22,0.5613880157470703
49,217,1.5456140041351318
50,261,1.7061691284179688
