id,count,time
1,8,0.22716903686523438
2,1,0.2101891040802002
3,12,0.2907090187072754
4,2,0.21339702606201172
5,403,1.008646011352539
6,33,0.4003598690032959
7,86,0.5310490131378174
8,9,0.25696802139282227
9,1,0.22590899467468262
10,1,0.21238398551940918
11,1,0.2258470058441162
12,21,0.29482197761535645
13,2,0.2268209457397461
14,175,0.7383508682250977
15,5,0.16746878623962402
16,292,0.9149050712585449
17,10,0.31321287155151367
18,1,0.2783701419830322
19,24,0.3711411952972412
20,17,0.29024600982666016
21,182,0.6328070163726807
22,19,0.37836599349975586
23,1,0.2345259189605713
24,40,0.4034140110015869
25,1,0.20005393028259277
26,2,0.22124910354614258
27,5,0.22860288619995117
28,17,0.33052897453308105
29,17,0.34220004081726074
30,1,0.21726703643798828
31,5,0.27796077728271484
32,6,0.29026222229003906
33,81,0.5682199001312256
34,1,0.213331937789917
35,162,0.6402339935302734
36,1882,2.2268950939178467
37,2,0.22554588317871094
38,1,0.2172679901123047
39,7,0.2982199192047119
40,2,0.22898507118225098
41,5,0.2133331298828125
42,424,0.8230991363525391
43,44,0.4389810562133789
44,879,1.875040054321289
45,1,0.21321916580200195
46,9,0.3373119831085205
47,12,0.29029083251953125
48,1,0.21474385261535645
49,15,0.33104515075683594
50,12,0.20355892181396484
