id,count,time
1,19,249.05438494682312
2,720,279.92329502105713
3,22,244.10194778442383
4,30,248.40847516059875
5,12,208.11609601974487
6,6,252.87885999679565
7,12,226.02891206741333
8,2,239.7451639175415
9,216,277.0197401046753
10,56,260.9911801815033
11,3,233.4331250190735
12,8,278.64548897743225
13,3,255.1697759628296
14,494,280.03477907180786
15,48,270.7911558151245
16,20,207.65951204299927
17,1,260.9971139431
18,6,249.0588140487671
19,20,238.01022505760193
20,102,256.8071138858795
21,1,237.37722206115723
22,1,177.95592379570007
23,32,233.49830508232117
24,18,254.14562582969666
25,90,263.4008800983429
26,3,251.7096869945526
27,2,261.68478298187256
28,80,279.4547791481018
29,8,259.83537793159485
30,12,243.34908199310303
31,364,286.5978350639343
32,72,271.32205390930176
33,24,266.24593901634216
34,400,283.9481999874115
35,3,200.33113408088684
36,9,264.0704960823059
37,6,203.5110788345337
38,9,188.48003482818604
39,6,231.05552911758423
40,1,208.64658904075623
41,4,219.3574140071869
42,14,197.9839630126953
43,828,296.4954810142517
44,6552,352.08802318573
45,1,237.9773290157318
46,258,262.2999529838562
47,6,161.75043988227844
48,18,249.73763298988342
49,240,283.1954679489136
50,276,210.88698196411133
