id,count,time
47,3,0.37529802322387695
26,22,0.5997378826141357
18,52,1.47633695602417
43,70,1.6811089515686035
3,255,3.367887020111084
48,1436,7.5333411693573
41,830,8.070810079574585
23,2960,9.30519986152649
5,4560,12.3974130153656
31,5493,12.795638799667358
38,3922,13.672263860702515
4,13106,19.007930994033813
19,8059,20.021642923355103
22,12476,21.427685976028442
49,20702,26.549665927886963
33,18364,27.94027018547058
45,18203,30.00226879119873
37,27328,33.8013699054718
12,27417,34.75978994369507
46,36449,40.86789608001709
11,26372,47.4502899646759
32,52907,51.6707181930542
13,45434,52.06015491485596
27,69415,61.71865200996399
36,51645,64.09016704559326
9,48680,67.8069679737091
7,110072,104.28665113449097
28,139831,138.55395698547363
20,108945,142.70381617546082
2,129009,142.991849899292
35,141614,153.93080496788025
30,248965,203.99664998054504
14,279618,240.3461549282074
17,298284,243.07202887535095
50,284060,314.45237708091736
6,384300,350.761766910553
29,316230,387.7706968784332
44,755033,604.1040320396423
25,721367,643.2408509254456
42,754024,865.0706861019135
1,1247516,1104.199035167694
24,1379918,1261.114363193512
40,1329125,1264.329108953476
15,2930360,2322.931445121765
34,2804012,2440.199196100235
21,6608178,6782.629894018173
10,15899559,12796.355751037598
39,19982291,19397.827743053436
8,20505138,20438.38037109375
