name,sc,tc,rwc
1,19.0,27.01680136055404,23.507588155525752
2,19.0,27.530618838514386,24.545597595191378
3,20.0,28.924751081136243,25.374832307926358
4,20.0,26.70616937090162,23.958158404718866
5,23.0,30.782854072060072,27.20185362517277
6,20.0,26.442460693376884,24.563635317010135
7,18.0,25.01415484604415,23.121364194961455
8,19.0,27.028854554465617,23.550755356055863
9,20.0,29.752783448858384,25.297110677987252
10,21.0,29.599957315860536,24.86957977129612
