name,origin_sc,origin_tc,origin_rwc,sliced_sc,sliced_tc,sliced_rwc,sliced_boundes
1,52.0,76.09804672209329,54.53951614132554,32.0,93.77203267542473,83.86360897516127,45
2,52.0,73.6321670783316,56.11588706821066,32.0,101.00108794602524,90.5242664832338,52
3,54.0,76.1879766378319,56.92435388143576,32.0,84.9863750421138,74.91027750333254,36
4,49.0,69.2257703079748,52.15333893645218,32.0,81.32579303872826,72.0420294182865,33
5,55.0,81.61501067615902,59.88747291371363,32.0,106.41253367599329,96.2092813495099,57
6,51.0,72.59672503935172,52.954150515495826,32.0,94.81085303182053,85.81664472772786,47
7,49.0,66.62719183367479,52.48117955800221,32.0,78.1531510841618,67.60370763127773,29
8,46.0,65.64455643479954,49.89965746644685,32.0,81.14002428343579,72.5566107818386,33
9,48.0,70.59317177495753,52.65681839101066,32.0,82.74591764922887,73.47212312962913,35
10,55.0,76.01414059814029,57.71132759935844,32.0,83.92334801088163,74.42150836659843,36
