name,original_sc,total_tc,num_branch,runtime
1,31.0,44.69396127111886,1,2.127835738
2,34.0,49.57231681943466,10,124.920318084
3,33.0,43.35421370315543,2,19.813680611
4,36.0,49.92898685562943,17,183.734679136
5,35.0,50.49843548848617,37,211.237163967
6,31.0,45.229176618373614,1,0.554599389
7,32.0,45.27569125196774,2,17.114557049
8,31.0,45.19170432441398,1,0.652520695
9,34.0,48.39533429137361,5,45.779957612
10,33.0,46.672072092309556,6,87.773279115
