name,origin_sc,origin_tc,origin_rwc,sliced_sc,sliced_tc,sliced_rwc,sliced_boundes
1,49.0,71.35989391846296,52.858414511249165,32.0,99.08095783137622,88.47931413382747,50
2,55.0,75.42288542328242,58.5107178614018,32.0,85.23665405136356,74.90113405183078,36
3,46.0,67.35851150256507,49.96488680030725,32.0,81.20399475578475,71.57690798511383,33
4,53.0,75.1727293490501,57.43729972946622,32.0,108.70831245483402,99.03029574942505,60
5,51.0,69.2863583647342,52.77798706241486,32.0,86.21172653126712,76.17412398357078,38
6,50.0,71.10254128105626,53.25925879900684,32.0,96.43717807545022,88.16754776570907,49
7,50.0,66.71850960203253,53.46580676271632,32.0,82.73497476142978,72.55360655221048,34
8,49.0,67.60241376720597,52.778809362043496,32.0,89.39691579608044,80.9335621920933,42
9,47.0,67.41164050950185,50.999006904559984,32.0,73.39646875314143,64.09834134665704,26
10,52.0,75.05648168294533,54.64438687895862,32.0,108.07720013860205,97.91757308005151,59
