name,ds,origin_sc,origin_tc,origin_rwc,sliced_sc,sliced_tc,sliced_rwc,sliced_boundes
1,1,46.0,66.03397914237736,48.1381308786394,45.0,66.02524001335387,49.87930992346048,1
1,2,46.0,66.03397914237736,48.1381308786394,44.0,66.03354842681428,49.630079211047914,2
1,3,46.0,66.03397914237736,48.1381308786394,43.0,66.04460044136536,49.91753586704082,3
1,4,46.0,66.03397914237736,48.1381308786394,42.0,66.02870255186824,50.406970413004395,4
1,5,46.0,66.03397914237736,48.1381308786394,41.0,66.02941582670954,50.64145623154346,5
1,6,46.0,66.03397914237736,48.1381308786394,40.0,66.07019443475463,51.896985553737565,7
1,7,46.0,66.03397914237736,48.1381308786394,39.0,66.13321011791186,52.72069379879415,8
1,8,46.0,66.03397914237736,48.1381308786394,38.0,66.18118532371824,53.52146632826526,10
1,9,46.0,66.03397914237736,48.1381308786394,37.0,67.14002416480054,54.09068579157219,12
1,10,46.0,66.03397914237736,48.1381308786394,36.0,67.24058970044081,55.080410179854695,14
2,1,37.0,51.696374610487844,41.38482205689579,36.0,51.38080058656574,42.184554013745334,1
2,2,37.0,51.696374610487844,41.38482205689579,35.0,51.38503573879714,42.29993379413056,2
2,3,37.0,51.696374610487844,41.38482205689579,34.0,51.38832906847127,42.57639824271152,3
2,4,37.0,51.696374610487844,41.38482205689579,33.0,51.40051307515669,42.51268273899301,4
2,5,37.0,51.696374610487844,41.38482205689579,32.0,51.41935842051468,42.72417924742061,5
2,6,37.0,51.696374610487844,41.38482205689579,31.0,51.446575199667436,42.86400426435076,6
2,7,37.0,51.696374610487844,41.38482205689579,30.0,52.152838535637194,43.93892541381538,8
2,8,37.0,51.696374610487844,41.38482205689579,29.0,55.603650986318044,48.08616887513693,13
2,9,37.0,51.696374610487844,41.38482205689579,28.0,56.23386039059836,48.45458420396318,14
2,10,37.0,51.696374610487844,41.38482205689579,27.0,58.127445928137526,51.43306175755757,18
3,1,41.0,60.25122092326308,46.34706838759306,40.0,59.144765683665064,47.82116573655079,2
3,2,41.0,60.25122092326308,46.34706838759306,39.0,60.1865393900569,49.05710860610057,4
3,3,41.0,60.25122092326308,46.34706838759306,38.0,59.27773951192394,48.86873342400198,5
3,4,41.0,60.25122092326308,46.34706838759306,37.0,59.510475101018734,49.97540021848469,7
3,5,41.0,60.25122092326308,46.34706838759306,36.0,56.70366069797245,48.197776232287815,6
3,6,41.0,60.25122092326308,46.34706838759306,35.0,62.8285842236179,52.44052912851944,11
3,7,41.0,60.25122092326308,46.34706838759306,34.0,59.090368788886174,49.55391845121191,9
3,8,41.0,60.25122092326308,46.34706838759306,33.0,59.50204410256491,50.59481309724937,11
3,9,41.0,60.25122092326308,46.34706838759306,32.0,62.29206201248789,53.664229429657745,15
3,10,41.0,60.25122092326308,46.34706838759306,31.0,62.42117622967938,53.84689986959368,16
4,1,33.0,49.6371471606993,36.977233278263476,32.0,50.064707466166126,39.303698327142705,2
4,2,33.0,49.6371471606993,36.977233278263476,31.0,51.06163386510421,40.854420931831704,4
4,3,33.0,49.6371471606993,36.977233278263476,30.0,51.68230768653192,41.99583535160949,6
4,4,33.0,49.6371471606993,36.977233278263476,29.0,53.20840220667186,44.39314589033266,9
4,5,33.0,49.6371471606993,36.977233278263476,28.0,54.102139696497396,45.46600575892739,11
4,6,33.0,49.6371471606993,36.977233278263476,27.0,56.72722013267031,48.74147081431598,15
4,7,33.0,49.6371471606993,36.977233278263476,26.0,57.09686958618922,49.769362019985294,17
4,8,33.0,49.6371471606993,36.977233278263476,25.0,59.77789424362674,52.89265881170495,21
4,9,33.0,49.6371471606993,36.977233278263476,24.0,63.158368597841545,56.82779413490988,26
