name,origin_sc,origin_tc,origin_rwc,sliced_sc,sliced_tc,sliced_rwc,sliced_boundes
1,50.0,71.33415466018968,54.49742974722617,32.0,77.79221047998783,66.85276192944312,29
2,43.0,60.93445589520618,46.28314181536084,32.0,70.35410081383702,61.49770289160322,23
3,49.0,68.19483422376581,53.18699472755298,32.0,71.06756714591975,62.38766089093714,24
4,45.0,65.02905950004362,48.60951905514756,32.0,81.37499373692683,72.62744229031296,34
5,48.0,70.19056523514229,52.552893138650155,32.0,80.94035149622006,71.9865128956687,33
6,52.0,72.24929711829057,56.40539517936087,32.0,82.8086325151062,72.97603662761442,34
7,46.0,62.51366529287608,50.179168161423576,32.0,71.34407752670816,63.222320978592485,25
8,50.0,72.04798066394609,52.77884723635344,32.0,88.16934902518162,77.68669357875953,39
9,49.0,71.00760935255781,53.08513207361408,32.0,79.35757213339201,70.02379779375309,32
10,45.0,66.07187967151417,48.678438803269614,32.0,78.04425998172043,67.52000888755722,29
