name,iters,id,sc,tc,rwc
finetune,10,1,23.0,33.3729889811306,27.560397875445886
finetune,10,2,24.0,33.24618139647341,27.816159085128152
finetune,10,3,24.0,33.72727609247524,28.407594460854515
finetune,10,4,24.0,33.642510194688576,27.58112734688978
finetune,10,5,24.0,33.021875095511035,28.454609912575737
finetune,10,6,24.0,33.31327414492709,27.893566406845498
finetune,10,7,23.0,33.66788896260146,27.724225791234897
finetune,10,8,24.0,33.250138654122004,28.258373535257228
finetune,10,9,24.0,33.11151655437058,27.915148677039003
finetune,10,10,23.0,33.37548391859445,27.302233476887064
finetune,10,11,24.0,33.239168096171504,27.42731894307401
finetune,10,12,23.0,33.420523541752935,27.399607930447857
finetune,10,13,24.0,32.91766980639023,27.989220214467323
finetune,10,14,24.0,33.98807809020776,28.078209328377792
finetune,10,15,24.0,33.81317737194695,27.970749452563176
finetune,10,16,24.0,33.305893482763956,27.823454800476465
finetune,10,17,24.0,33.61082427469389,27.667717152650653
finetune,10,18,24.0,33.555315690448,28.15580124441179
finetune,10,19,24.0,33.20785120106253,28.229570040651204
finetune,10,20,24.0,33.61369568138121,28.25719209292332
finetune,10,21,24.0,33.37089306495325,27.725148281609236
finetune,10,22,24.0,33.062588130363395,27.966713533671953
finetune,10,23,24.0,33.79987723507039,27.93682506083834
finetune,10,24,24.0,33.30870635567621,27.881514255944058
finetune,10,25,24.0,32.85889088036085,28.418480249744082
finetune,10,26,24.0,33.32755784611208,27.64086294827379
finetune,10,27,24.0,33.33172084893978,28.15191982295432
finetune,10,28,25.0,33.32813608825143,28.124292317789962
finetune,10,29,24.0,33.847899082544714,27.85745040225641
finetune,10,30,24.0,34.01858205944371,27.904869043055488
finetune,10,31,24.0,33.36702248947135,27.852405011288695
finetune,10,32,23.0,33.363463264876444,27.288540273920436
finetune,10,33,23.0,32.84722082566528,27.622502158629565
finetune,10,34,24.0,33.001429625788745,27.987976057997837
finetune,10,35,24.0,33.58300851213854,28.119921970736787
finetune,10,36,24.0,32.969089862372684,28.031804306824323
finetune,10,37,24.0,33.32996802014298,27.742471214797387
finetune,10,38,24.0,33.334581901606235,27.84080631676983
finetune,10,39,24.0,33.22915127921546,28.258017143939643
finetune,10,40,24.0,33.5894612738794,27.934409969416816
finetune,10,41,24.0,33.45739027252395,28.13256379369701
finetune,10,42,24.0,32.856903788568445,28.304042812871657
finetune,10,43,24.0,33.38657873308929,28.017090502868562
finetune,10,44,24.0,33.31279897852525,28.297485666017927
finetune,10,45,24.0,33.64866230158382,27.537047042866845
finetune,10,46,23.0,33.66953927887885,27.72357772315448
finetune,10,47,24.0,33.42736153775907,28.115492207945227
finetune,10,48,23.0,33.618134081977225,27.770785102221016
finetune,10,49,24.0,33.34405572923418,28.12175691322576
finetune,10,50,23.0,33.653783921900406,27.725265632040824
finetune,10,51,24.0,33.48398179822518,27.9971833958094
finetune,10,52,24.0,33.59918999978495,28.094607807156393
finetune,10,53,23.0,33.39184612204284,27.582124857335472
finetune,10,54,24.0,32.996383271710066,27.718663665957507
finetune,10,55,23.0,33.64351176028434,27.307550407101584
finetune,10,56,23.0,33.64867393367932,27.637724496052584
finetune,10,57,24.0,33.942898451654365,27.521510637182153
finetune,10,58,24.0,33.27348690261993,27.787057315156893
finetune,10,59,24.0,33.19796324829285,28.11223010713597
finetune,10,60,24.0,33.293223418011145,28.173566105392116
finetune,10,61,24.0,33.52802412430009,27.90923761877878
finetune,10,62,23.0,33.4677173942273,27.64479498520646
finetune,10,63,24.0,33.78344954318952,27.648203539051732
finetune,10,64,24.0,33.636524960501326,27.75392136875996
finetune,10,65,23.0,33.35863940254662,27.848067970663536
finetune,10,66,24.0,33.86731747100851,28.170002081051848
finetune,10,67,23.0,33.3651274606776,27.739977246363786
finetune,10,68,24.0,33.37941998214085,27.609128050595167
finetune,10,69,24.0,33.78794331228393,27.940275613074057
finetune,10,70,24.0,33.447790908563846,27.73563198558946
finetune,10,71,24.0,33.40844756748349,28.009287283248288
finetune,10,72,24.0,33.065816987475515,27.767014185314228
finetune,10,73,24.0,33.64521508942644,27.820220864694665
finetune,10,74,23.0,33.39712887251032,27.2435380276482
finetune,10,75,24.0,33.034670237739434,28.226948283972046
finetune,10,76,23.0,33.55299489571149,27.623448619949528
finetune,10,77,24.0,33.25308249775387,27.94201856755889
finetune,10,78,24.0,33.31548822303098,28.434363429584387
finetune,10,79,23.0,33.714874946174525,27.493112094253643
finetune,10,80,24.0,33.33577711206342,27.80747294032444
finetune,10,81,24.0,33.53538382985675,28.455909194112717
