id,r,sc,tc,nv,ne,has_code
1,52.5,31.0,44.889093810083736,3549,6920,true
2,54.0,31.0,45.414853237748986,3548,6919,true
3,52.0,31.0,44.73550098305252,3548,6918,true
4,53.5,31.0,44.68164913373733,3547,6915,true
5,53.0,31.0,45.845536354076074,3548,6918,true
6,51.5,31.0,45.62960827462495,3547,6916,true
7,51.0,31.0,45.23421233163141,3548,6916,true
8,53.0,31.0,44.55377791421603,3544,6909,true
9,60.5,31.0,45.361340743315026,3545,6914,true
10,59.5,31.0,45.05470029868071,3547,6918,true
11,52.0,31.0,45.37610165847848,3552,6930,true
12,67.0,31.0,43.82715241724141,3542,6906,true
13,68.0,31.0,43.970704707373336,3542,6906,true
14,63.5,31.0,44.44184130070359,3545,6914,true
15,55.5,31.0,45.4418040817452,3549,6921,true
16,64.5,31.0,44.8660387717417,3545,6916,true
17,71.5,31.0,45.19866685050633,3539,6904,true
18,46.5,31.0,44.707255353700155,3545,6909,true
19,35.0,31.0,44.1419784746417,3552,6923,true
20,43.0,31.0,45.62985346170452,3552,6920,true
21,43.5,31.0,45.63126825790639,3553,6923,true
22,43.0,31.0,45.22297589242892,3552,6922,true
23,32.5,31.0,45.23502193628801,3555,6923,true
24,34.5,31.0,45.299405628015286,3555,6923,true
25,47.0,31.0,45.222261375697016,3550,6920,true
26,46.5,31.0,44.681418365362106,3549,6919,true
27,49.0,31.0,44.681696096856435,3550,6921,true
28,64.0,31.0,44.38740085667472,3540,6898,true
29,63.0,31.0,44.24898546669266,3540,6897,true
30,57.5,31.0,43.73075399106835,3545,6908,true
31,54.5,31.0,45.63003234312346,3547,6914,true
32,54.5,31.0,46.35356943135658,3549,6922,true
