id,r,sc,tc,nv,ne,has_code
1,51.0,31.0,46.20145238664788,3554,6934,true
2,43.5,31.0,46.36071197537973,3557,6941,true
3,45.0,31.0,46.35143485910728,3556,6937,true
4,42.0,31.0,46.3504658588546,3558,6943,true
5,50.5,31.0,45.509011316521786,3555,6942,true
6,43.5,31.0,46.36740600070615,3555,6935,true
7,47.5,31.0,45.403298116352445,3555,6939,true
8,49.5,31.0,46.36238838261005,3553,6930,true
9,50.0,31.0,46.03670694065136,3550,6926,true
10,52.5,31.0,45.499843761766314,3551,6931,true
11,50.0,31.0,45.098040874365,3552,6933,true
12,49.0,31.0,45.651507686987436,3552,6933,true
13,53.0,31.0,45.3661476425292,3550,6927,true
14,52.5,31.0,44.65320307806778,3551,6933,true
15,48.0,31.0,45.05929443494609,3552,6931,true
16,49.5,31.0,46.83286596787448,3553,6928,true
