n,seed,all_slice_count,per_slice_runtime_s,total_runtime_s,total_runtime_h
40,1,512,357.596470523,183089.392908,50.858165
40,2,1024,150.648645688,154264.213185,42.851170
40,3,1024,186.147963834,190615.514966,52.948754
40,4,1024,477.405135813,488862.859073,135.795239
40,5,512,215.470236267,110320.760969,30.644656
40,6,512,1853.499242762,948991.612294,263.608781
40,7,512,176.065830765,90145.705352,25.040474
40,8,16384,154.578696185,2532617.358295,703.504822
40,9,512,741.236210209,379512.939627,105.420261
40,10,1024,1749.273786639,1791256.357518,497.571210
40,11,1024,219.479905704,224747.423441,62.429840
40,12,512,433.625873504,222016.447234,61.671235
40,13,512,196.976041548,100851.733273,28.014370
40,14,512,823.832357536,421802.167058,117.167269
40,15,512,228.000794638,116736.406855,32.426780
40,16,2048,112.820507678,231056.399725,64.182333
40,17,2048,1847.102498253,3782865.916422,1050.796088
40,18,16384,157.770100986,2584905.334555,718.029260
40,20,512,216.427731931,110810.998749,30.780833
