n,seed,all_slice_count,per_slice_runtime_s,total_runtime_s,total_runtime_h
60,2,68719476736,511.005709981,35116044999002.492188,9754456944.167358
60,6,549755813888,659.198256684,362398074116863.125000,100666131699.128647
60,7,70368744177664,343.416891833,24165815407684888.000000,6712726502134.691406
60,8,1099511627776,486.683166531,535113800643677.875000,148642722401.021637
60,9,274877906944,618.104095147,169903159947522.375000,47195322207.645103
60,11,68719476736,530.465486179,36453310636728.718750,10125919621.313534
60,13,4398046511104,528.873679622,2326011041476272.000000,646114178187.853394
60,14,274877906944,721.391141685,198294487114315.343750,55081801976.198708
60,15,281474976710656,341.218903802,96044583000903520.000000,26679050833584.312500
60,19,35184372088832,467.222217819,16438920359913008.000000,4566366766642.501953
