n,seed,bbtn_runtime_s,slice_wall_seconds,total_runtime_s,total_runtime_h
40,1,6353.504849630,807.434000,7160.938850,1.989150
40,2,10892.267939829,707.016000,11599.283940,3.222023
40,4,1277.393027033,735.360000,2012.753027,0.559098
40,6,8312.625834338,873.821000,9186.446834,2.551791
40,7,5574.536286133,622.746000,6197.282286,1.721467
40,9,4112.191553691,793.784000,4905.975554,1.362771
40,10,2123.134486588,676.465000,2799.599487,0.777667
40,12,3397.273551021,790.174000,4187.447551,1.163180
40,13,3283.407973758,680.693000,3964.100974,1.101139
40,14,7757.067063400,850.267000,8607.334063,2.390926
