n,seed,bbtn_runtime_s,slice_wall_seconds,total_runtime_s,total_runtime_h
50,2,5148.609783340,2265.797000,7414.406783,2.059557
50,3,5973.854008797,2320.084000,8293.938009,2.303872
50,4,4858.145809829,1640.851000,6498.996810,1.805277
50,6,2417.580988469,1895.761000,4313.341988,1.198151
50,9,2775.485116397,1255.476000,4030.961116,1.119711
50,11,3499.407678935,1863.381000,5362.788679,1.489664
50,12,4514.844167674,2794.231000,7309.075168,2.030299
50,13,6404.736857725,2591.509000,8996.245858,2.498957
50,14,3570.203346687,1747.661000,5317.864347,1.477185
50,15,1615.110991749,1457.345000,3072.455992,0.853460
