name,original_sc,total_tc,nslice,runtime
2,34.0,53.39696874973449,6,15.044389246
3,33.0,44.22227937924813,2,7.776362001
4,36.0,52.09958090618783,5,25.995343058
5,35.0,54.20628866376492,7,20.948886888
7,32.0,46.64592037215061,1,6.712935348
9,34.0,50.85499040213469,4,16.156433317
10,33.0,48.20708380687614,2,9.013232912
