name,total_tc,num_branch
1,44.69396127111886,1
2,49.70879680437086,4
3,44.13889803859847,2
4,50.45497260064429,11
5,51.3532964531461,16
6,45.229176618373614,1
7,45.76811316631999,1
8,45.19170432441398,1
9,48.24865236633733,3
10,47.8156769961154,2
